#time MDC0  MDC1   DC2    DC3    0-2    1-3    1-2    2-3
92   0.350  0.310  0.052  0.057  0.287  0.000  0.287  0.029  # 175 jobs, 1.750 load
93   0.310  0.390  0.056  0.065  0.290  0.000  0.303  0.029  # 191 jobs, 1.910 load
94   0.310  0.430  0.053  0.067  0.357  0.000  0.320  0.036  # 194 jobs, 1.940 load
95   0.330  0.330  0.057  0.080  0.417  0.000  0.293  0.042  # 203 jobs, 2.030 load
96   0.400  0.380  0.067  0.071  0.363  0.000  0.347  0.036  # 216 jobs, 2.160 load
97   0.320  0.410  0.084  0.067  0.327  0.000  0.413  0.033  # 224 jobs, 2.240 load
98   0.300  0.210  0.070  0.060  0.297  0.000  0.303  0.030  # 181 jobs, 1.810 load
99   0.440  0.190  0.068  0.056  0.317  0.000  0.297  0.032  # 187 jobs, 1.870 load
100  0.460  0.170  0.050  0.046  0.290  0.000  0.217  0.029  # 159 jobs, 1.590 load
101  0.430  0.160  0.054  0.055  0.333  0.000  0.233  0.033  # 168 jobs, 1.680 load
102  0.420  0.250  0.059  0.043  0.283  0.000  0.277  0.028  # 169 jobs, 1.690 load
103  0.380  0.350  0.064  0.041  0.250  0.000  0.323  0.025  # 178 jobs, 1.780 load
104  0.290  0.400  0.063  0.041  0.257  0.000  0.387  0.026  # 173 jobs, 1.730 load
105  0.240  0.370  0.063  0.047  0.213  0.000  0.317  0.021  # 171 jobs, 1.710 load
106  0.190  0.290  0.054  0.036  0.197  0.000  0.277  0.020  # 138 jobs, 1.380 load
107  0.260  0.390  0.053  0.040  0.263  0.000  0.310  0.026  # 158 jobs, 1.580 load
108  0.160  0.320  0.055  0.040  0.177  0.000  0.283  0.018  # 143 jobs, 1.430 load
109  0.180  0.330  0.051  0.035  0.173  0.000  0.263  0.017  # 137 jobs, 1.370 load
110  0.190  0.200  0.058  0.036  0.180  0.000  0.243  0.018  # 133 jobs, 1.330 load
111  0.230  0.270  0.058  0.031  0.170  0.000  0.277  0.017  # 139 jobs, 1.390 load
112  0.240  0.250  0.060  0.033  0.180  0.000  0.283  0.018  # 142 jobs, 1.420 load
113  0.110  0.320  0.067  0.027  0.123  0.000  0.340  0.012  # 137 jobs, 1.370 load
114  0.100  0.380  0.054  0.021  0.100  0.000  0.290  0.010  # 123 jobs, 1.230 load
115  0.090  0.350  0.061  0.025  0.113  0.000  0.340  0.011  # 130 jobs, 1.300 load
116  0.080  0.400  0.051  0.015  0.077  0.000  0.283  0.008  # 114 jobs, 1.140 load
117  0.060  0.330  0.050  0.015  0.077  0.000  0.260  0.008  # 104 jobs, 1.040 load
118  0.050  0.300  0.049  0.017  0.083  0.000  0.257  0.008  # 101 jobs, 1.010 load
119  0.050  0.370  0.055  0.006  0.030  0.000  0.320  0.003  # 103 jobs, 1.030 load
120  0.010  0.300  0.056  0.003  0.013  0.000  0.283  0.001  # 90 jobs, 0.900 load
121  0.010  0.230  0.056  0.002  0.010  0.000  0.257  0.001  # 82 jobs, 0.820 load
122  0.010  0.230  0.054  0.001  0.007  0.000  0.257  0.001  # 79 jobs, 0.790 load
123  0.030  0.270  0.057  0.001  0.013  0.000  0.267  0.001  # 88 jobs, 0.880 load
124  0.030  0.260  0.052  0.004  0.023  0.000  0.263  0.002  # 85 jobs, 0.850 load
125  0.020  0.310  0.055  0.009  0.037  0.000  0.287  0.004  # 97 jobs, 0.970 load
126  0.010  0.260  0.044  0.012  0.043  0.000  0.233  0.004  # 83 jobs, 0.830 load
127  0.030  0.330  0.042  0.014  0.057  0.000  0.243  0.006  # 92 jobs, 0.920 load
128  0.070  0.320  0.042  0.012  0.063  0.000  0.247  0.006  # 93 jobs, 0.930 load
129  0.080  0.300  0.050  0.017  0.083  0.000  0.250  0.008  # 105 jobs, 1.050 load
130  0.120  0.290  0.045  0.016  0.090  0.000  0.237  0.009  # 102 jobs, 1.020 load
131  0.090  0.290  0.050  0.018  0.087  0.000  0.267  0.009  # 106 jobs, 1.060 load
132  0.120  0.260  0.046  0.023  0.113  0.000  0.237  0.011  # 107 jobs, 1.070 load
133  0.160  0.270  0.040  0.028  0.143  0.000  0.240  0.014  # 111 jobs, 1.110 load
134  0.130  0.260  0.046  0.034  0.157  0.000  0.237  0.016  # 119 jobs, 1.190 load
135  0.150  0.300  0.049  0.037  0.190  0.000  0.257  0.019  # 131 jobs, 1.310 load
136  0.180  0.300  0.060  0.050  0.220  0.000  0.310  0.022  # 158 jobs, 1.580 load
137  0.180  0.340  0.052  0.055  0.243  0.000  0.277  0.024  # 159 jobs, 1.590 load
138  0.190  0.380  0.053  0.050  0.230  0.000  0.347  0.023  # 160 jobs, 1.600 load
139  0.290  0.240  0.068  0.048  0.247  0.000  0.307  0.025  # 169 jobs, 1.690 load
140  0.220  0.190  0.068  0.049  0.200  0.000  0.267  0.020  # 158 jobs, 1.580 load
141  0.290  0.210  0.071  0.044  0.237  0.000  0.270  0.024  # 165 jobs, 1.650 load
142  0.310  0.140  0.084  0.045  0.243  0.000  0.323  0.024  # 174 jobs, 1.740 load
143  0.410  0.180  0.034  0.054  0.307  0.000  0.187  0.031  # 147 jobs, 1.470 load
144  0.460  0.180  0.030  0.046  0.320  0.000  0.160  0.032  # 140 jobs, 1.400 load
145  0.350  0.160  0.028  0.063  0.327  0.000  0.147  0.033  # 142 jobs, 1.420 load
146  0.380  0.140  0.028  0.067  0.340  0.000  0.140  0.034  # 147 jobs, 1.470 load
147  0.460  0.180  0.033  0.069  0.347  0.000  0.170  0.035  # 166 jobs, 1.660 load
148  0.390  0.180  0.029  0.069  0.380  0.000  0.153  0.038  # 155 jobs, 1.550 load
149  0.300  0.160  0.032  0.073  0.320  0.000  0.163  0.032  # 151 jobs, 1.510 load
150  0.380  0.210  0.024  0.057  0.297  0.000  0.150  0.030  # 140 jobs, 1.400 load
151  0.320  0.230  0.024  0.065  0.320  0.000  0.133  0.032  # 144 jobs, 1.440 load
152  0.390  0.190  0.024  0.066  0.360  0.000  0.140  0.036  # 148 jobs, 1.480 load
153  0.400  0.220  0.025  0.086  0.427  0.000  0.173  0.043  # 173 jobs, 1.730 load
154  0.530  0.170  0.032  0.080  0.427  0.000  0.150  0.043  # 182 jobs, 1.820 load
155  0.500  0.180  0.029  0.083  0.437  0.000  0.157  0.044  # 180 jobs, 1.800 load
156  0.470  0.210  0.029  0.089  0.473  0.000  0.167  0.047  # 186 jobs, 1.860 load
157  0.570  0.190  0.029  0.098  0.583  0.000  0.160  0.058  # 203 jobs, 2.030 load
158  0.480  0.230  0.033  0.093  0.460  0.000  0.190  0.046  # 197 jobs, 1.970 load
159  0.490  0.200  0.030  0.089  0.440  0.000  0.163  0.044  # 188 jobs, 1.880 load
160  0.660  0.120  0.030  0.092  0.563  0.000  0.140  0.056  # 200 jobs, 2.000 load
161  0.510  0.130  0.029  0.092  0.480  0.000  0.150  0.048  # 185 jobs, 1.850 load
162  0.570  0.030  0.030  0.097  0.500  0.000  0.097  0.050  # 187 jobs, 1.870 load
163  0.570  0.060  0.025  0.115  0.610  0.000  0.103  0.061  # 203 jobs, 2.030 load
164  0.560  0.050  0.022  0.090  0.507  0.000  0.090  0.051  # 173 jobs, 1.730 load
165  0.570  0.080  0.017  0.103  0.527  0.000  0.083  0.053  # 185 jobs, 1.850 load
166  0.510  0.030  0.017  0.113  0.500  0.000  0.083  0.050  # 184 jobs, 1.840 load
167  0.560  0.040  0.019  0.094  0.477  0.000  0.093  0.048  # 173 jobs, 1.730 load
168  0.660  0.040  0.009  0.086  0.543  0.000  0.043  0.054  # 165 jobs, 1.650 load
169  0.460  0.030  0.011  0.089  0.450  0.000  0.057  0.045  # 149 jobs, 1.490 load
170  0.460  0.040  0.010  0.088  0.440  0.000  0.047  0.044  # 148 jobs, 1.480 load
171  0.400  0.050  0.011  0.082  0.413  0.000  0.053  0.041  # 138 jobs, 1.380 load
172  0.490  0.050  0.007  0.093  0.477  0.000  0.043  0.048  # 154 jobs, 1.540 load
173  0.610  0.070  0.006  0.110  0.587  0.000  0.043  0.059  # 184 jobs, 1.840 load
174  0.770  0.080  0.008  0.081  0.483  0.000  0.053  0.048  # 174 jobs, 1.740 load
175  0.820  0.080  0.010  0.094  0.623  0.000  0.053  0.062  # 194 jobs, 1.940 load
