selected,total,duration,solving_time,instant,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,"(1, 9)","(2, 10)","(3, 11)","(9, 1)","(10, 2)","(11, 3)","(12, 4)","(13, 5)","(14, 6)","(15, 7)","(16, 8)","(10, 9)","(9, 10)","(11, 10)","(10, 11)","(12, 11)","(11, 12)","(13, 12)","(12, 13)","(14, 13)","(13, 14)","(15, 14)","(14, 15)","(16, 15)","(15, 16)","(9, 16)","(16, 9)","(10, 17)","(17, 10)","(12, 17)","(17, 12)","(14, 17)","(17, 14)","(16, 17)","(17, 16)","(10, 18)","(18, 10)","(12, 18)","(18, 12)","(14, 18)","(18, 14)","(16, 18)","(18, 16)"
0.0,0.0,0.0,0.0,5.88948,0.8,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.82,0.7,0.8,0.72,0.0,0.0,0.82,0.82,0.0,0.164,0.674,0.0,0.0,0.08,0.084,0.084,0.0,0.0,0.0,0.0,0.084,0.105,0.207,0.35,0.047,0.145,0.01,0.075,0.0,0.0,0.0,0.01,0.0,0.066,0.035,0.089,0.065,0.0,0.03,0.09,0.0,0.0125,0.0,0.0,0.0725,0.1815,0.0,0.015,0.018,0.03,0.0,0.0375,0.0
0.0,0.0,0.0,0.0,5.93874,0.8,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.82,0.7,0.8,0.72,0.0,0.0,0.72,0.82,0.0,0.174,0.674,0.0,0.0,0.08,0.084,0.084,0.0,0.0,0.0,0.0,0.084,0.105,0.212,0.35,0.047,0.145,0.01,0.075,0.0,0.0,0.0,0.01,0.0,0.036,0.035,0.084,0.065,0.0,0.03,0.09,0.0,0.0125,0.0,0.0,0.0725,0.184,0.0,0.015,0.018,0.03,0.0,0.05,0.0
0.0,0.0,0.0,0.0,5.95204,0.8,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.82,0.7,0.8,0.68,0.0,0.0,0.72,0.82,0.0,0.178,0.674,0.0,0.0,0.08,0.084,0.084,0.0,0.0,0.0,0.0,0.084,0.105,0.212,0.35,0.047,0.145,0.01,0.065,0.0,0.0,0.01,0.01,0.0,0.036,0.035,0.084,0.065,0.0,0.03,0.09,0.0,0.0125,0.0,0.0,0.0725,0.184,0.0,0.015,0.017,0.035,0.0,0.05,0.0
0.0,0.0,0.0,0.0,6.13105,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.82,0.76,0.76,0.68,0.0,0.0,0.72,0.82,0.0,0.178,0.676,0.0,0.0,0.07,0.084,0.084,0.0,0.0,0.0,0.0,0.084,0.1,0.213,0.36,0.045,0.145,0.01,0.065,0.0,0.0,0.01,0.01,0.0,0.036,0.035,0.084,0.065,0.0,0.03,0.09,0.0,0.0125,0.0,0.0,0.0725,0.184,0.0,0.015,0.017,0.035,0.0,0.05,0.0
0.0,0.0,0.0,0.0,6.18603,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.82,0.76,0.68,0.68,0.0,0.0,0.72,0.82,0.0,0.186,0.676,0.0,0.0,0.07,0.084,0.084,0.0,0.0,0.0,0.0,0.084,0.1,0.213,0.36,0.041,0.125,0.01,0.065,0.0,0.0,0.01,0.01,0.0,0.036,0.035,0.084,0.065,0.0,0.03,0.09,0.0,0.0125,0.0,0.0,0.0725,0.186,0.0,0.025,0.017,0.035,0.0,0.05,0.0
0.0,0.0,0.0,0.0,6.23488,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.82,0.76,0.68,0.68,0.0,0.0,0.72,0.82,0.0,0.186,0.676,0.0,0.0,0.07,0.084,0.084,0.0,0.0,0.0,0.0,0.084,0.1,0.213,0.36,0.041,0.125,0.01,0.065,0.0,0.0,0.01,0.01,0.0,0.036,0.035,0.084,0.065,0.0,0.03,0.09,0.0,0.0125,0.0,0.0,0.0725,0.186,0.0,0.025,0.017,0.035,0.0,0.05,0.0
0.0,0.0,0.0,0.0,6.24486,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.82,0.72,0.72,0.68,0.0,0.0,0.72,0.82,0.0,0.186,0.676,0.0,0.0,0.07,0.084,0.084,0.0,0.0,0.0,0.0,0.084,0.1,0.213,0.35,0.043,0.125,0.01,0.065,0.0,0.0,0.01,0.01,0.0,0.036,0.035,0.084,0.065,0.0,0.03,0.09,0.0,0.0125,0.0,0.0,0.0725,0.186,0.0,0.025,0.017,0.035,0.0,0.05,0.0
0.0,0.0,0.0,0.0,6.33324,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.7,0.68,0.72,0.68,0.0,0.0,0.72,0.76,0.0,0.208,0.676,0.0,0.0,0.07,0.084,0.084,0.0,0.0,0.0,0.0,0.084,0.1,0.222,0.35,0.043,0.125,0.01,0.065,0.0,0.0,0.01,0.01,0.0,0.036,0.035,0.081,0.035,0.0,0.025,0.0625,0.0,0.0125,0.0,0.0,0.05,0.1915,0.0,0.0525,0.017,0.035,0.0,0.05,0.0
0.0,0.0,0.0,0.0,6.58595,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.7,0.68,0.72,0.68,0.0,0.0,0.72,0.76,0.0,0.208,0.676,0.0,0.0,0.07,0.084,0.084,0.0,0.0,0.0,0.0,0.084,0.1,0.222,0.35,0.043,0.125,0.01,0.065,0.0,0.0,0.01,0.01,0.0,0.036,0.035,0.081,0.035,0.0,0.025,0.0625,0.0,0.0125,0.0,0.0,0.05,0.1915,0.0,0.0525,0.017,0.035,0.0,0.05,0.0
0.0,0.0,0.0,0.0,7.01053,0.8,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.78,0.8,0.8,0.68,0.0,0.0,0.72,0.76,0.0,0.178,0.674,0.0,0.0,0.08,0.084,0.084,0.0,0.0,0.0,0.0,0.084,0.125,0.217,0.33,0.047,0.125,0.01,0.065,0.0,0.0,0.01,0.01,0.0,0.036,0.035,0.081,0.035,0.0,0.025,0.0625,0.0,0.0125,0.0,0.0,0.05,0.1465,0.0,0.0525,0.017,0.035,0.0,0.05,0.0
