selected,total,duration,solving_time,instant,1,2,3,"(1, 3)","(2, 3)","(3, 1)","(3, 2)","(4, 3)"
0.0,0.0,0.0,0.0,109.0,0.0,0.57,0.507,0.94,0.375,0.0,0.19,0.094
0.0,0.0,0.0,0.0,110.0,0.0,0.57,0.501,0.93,0.37,0.0,0.19,0.093
0.0,0.0,0.0,0.0,111.0,0.0,0.57,0.495,0.92,0.365,0.0,0.19,0.092
0.0,0.0,0.0,0.0,112.0,0.0,0.6,0.486,0.91,0.355,0.0,0.2,0.091
0.0,0.0,0.0,0.0,113.0,0.0,0.6,0.48,0.9,0.35,0.0,0.2,0.09
0.0,0.0,0.0,0.0,114.0,0.0,0.6,0.474,0.89,0.345,0.0,0.2,0.089
0.0,0.0,0.0,0.0,115.0,0.0,0.6,0.468,0.88,0.34,0.0,0.2,0.088
0.0,0.0,0.0,0.0,116.0,0.0,0.6,0.462,0.87,0.335,0.0,0.2,0.087
0.0,0.0,0.0,0.0,117.0,0.0,0.6,0.456,0.86,0.33,0.0,0.2,0.086
0.0,0.0,0.0,0.0,118.0,0.0,0.6,0.45,0.85,0.325,0.0,0.2,0.085
0.0,0.0,0.0,0.0,119.0,0.0,0.6,0.444,0.84,0.32,0.0,0.2,0.084
0.0,0.0,0.0,0.0,120.0,0.0,0.6,0.438,0.83,0.315,0.0,0.2,0.083
0.0,0.0,0.0,0.0,121.0,0.0,0.63,0.429,0.82,0.305,0.0,0.21,0.082
0.0,0.0,0.0,0.0,122.0,0.0,0.63,0.423,0.81,0.3,0.0,0.21,0.081
0.0,0.0,0.0,0.0,123.0,0.0,0.63,0.417,0.8,0.295,0.0,0.21,0.08
0.0,0.0,0.0,0.0,124.0,0.0,0.63,0.411,0.79,0.29,0.0,0.21,0.079
0.0,0.0,0.0,0.0,125.0,0.0,0.63,0.405,0.78,0.285,0.0,0.21,0.078
0.0,0.0,0.0,0.0,126.0,0.0,0.63,0.399,0.77,0.28,0.0,0.21,0.077
0.0,0.0,0.0,0.0,127.0,0.0,0.63,0.393,0.76,0.275,0.0,0.21,0.076
0.0,0.0,0.0,0.0,128.0,0.0,0.63,0.387,0.75,0.27,0.0,0.21,0.075
0.0,0.0,0.0,0.0,129.0,0.0,0.63,0.381,0.74,0.265,0.0,0.21,0.074
0.0,0.0,0.0,0.0,130.0,0.0,0.63,0.375,0.73,0.26,0.0,0.21,0.073
0.0,0.0,0.0,0.0,131.0,0.0,0.63,0.369,0.72,0.255,0.0,0.21,0.072
0.0,0.0,0.0,0.0,132.0,0.0,0.63,0.363,0.71,0.25,0.0,0.21,0.071
0.0,0.0,0.0,0.0,133.0,0.0,0.63,0.357,0.7,0.245,0.0,0.21,0.07
0.0,0.0,0.0,0.0,134.0,0.0,0.63,0.351,0.69,0.24,0.0,0.21,0.069
0.0,0.0,0.0,0.0,135.0,0.0,0.63,0.345,0.68,0.235,0.0,0.21,0.068
0.0,0.0,0.0,0.0,136.0,0.0,0.66,0.336,0.67,0.225,0.0,0.22,0.067
0.0,0.0,0.0,0.0,137.0,0.0,0.66,0.33,0.66,0.22,0.0,0.22,0.066
0.0,0.0,0.0,0.0,138.0,0.0,0.66,0.324,0.65,0.215,0.0,0.22,0.065
0.0,0.0,0.0,0.0,139.0,0.0,0.66,0.318,0.64,0.21,0.0,0.22,0.064
0.0,0.0,0.0,0.0,140.0,0.0,0.66,0.312,0.63,0.205,0.0,0.22,0.063
0.0,0.0,0.0,0.0,141.0,0.0,0.66,0.306,0.62,0.2,0.0,0.22,0.062
0.0,0.0,0.0,0.0,142.0,0.0,0.66,0.3,0.61,0.195,0.0,0.22,0.061
0.0,0.0,0.0,0.0,143.0,0.0,0.66,0.294,0.6,0.19,0.0,0.22,0.06
0.0,0.0,0.0,0.0,144.0,0.0,0.66,0.288,0.59,0.185,0.0,0.22,0.059
0.0,0.0,0.0,0.0,145.0,0.0,0.66,0.282,0.58,0.18,0.0,0.22,0.058
0.0,0.0,0.0,0.0,146.0,0.0,0.66,0.276,0.57,0.175,0.0,0.22,0.057
0.0,0.0,0.0,0.0,147.0,0.0,0.66,0.27,0.56,0.17,0.0,0.22,0.056
0.0,0.0,0.0,0.0,148.0,0.0,0.66,0.264,0.55,0.165,0.0,0.22,0.055
0.0,0.0,0.0,0.0,149.0,0.0,0.66,0.258,0.54,0.16,0.0,0.22,0.054
0.0,0.0,0.0,0.0,150.0,0.0,0.69,0.249,0.53,0.15,0.0,0.23,0.053
0.0,0.0,0.0,0.0,151.0,0.0,0.69,0.243,0.52,0.145,0.0,0.23,0.052
0.0,0.0,0.0,0.0,152.0,0.0,0.69,0.237,0.51,0.14,0.0,0.23,0.051
0.0,0.0,0.0,0.0,153.0,0.0,0.69,0.231,0.5,0.135,0.0,0.23,0.05
0.0,0.0,0.0,0.0,154.0,0.0,0.69,0.225,0.49,0.13,0.0,0.23,0.049
0.0,0.0,0.0,0.0,155.0,0.0,0.69,0.219,0.48,0.125,0.0,0.23,0.048
0.0,0.0,0.0,0.0,156.0,0.0,0.69,0.213,0.47,0.12,0.0,0.23,0.047
0.0,0.0,0.0,0.0,157.0,0.0,0.69,0.207,0.46,0.115,0.0,0.23,0.046
0.0,0.0,0.0,0.0,158.0,0.0,0.69,0.201,0.45,0.11,0.0,0.23,0.045
0.0,0.0,0.0,0.0,159.0,0.0,0.69,0.195,0.44,0.105,0.0,0.23,0.044
0.0,0.0,0.0,0.0,160.0,0.0,0.69,0.189,0.43,0.1,0.0,0.23,0.043
0.0,0.0,0.0,0.0,161.0,0.0,0.69,0.183,0.42,0.095,0.0,0.23,0.042
0.0,0.0,0.0,0.0,162.0,0.0,0.69,0.177,0.41,0.09,0.0,0.23,0.041
0.0,0.0,0.0,0.0,163.0,0.0,0.69,0.171,0.4,0.085,0.0,0.23,0.04
0.0,0.0,0.0,0.0,164.0,0.0,0.69,0.165,0.39,0.08,0.0,0.23,0.039
0.0,0.0,0.0,0.0,165.0,0.0,0.69,0.159,0.38,0.075,0.0,0.23,0.038
0.0,0.0,0.0,0.0,166.0,0.0,0.69,0.153,0.37,0.07,0.0,0.23,0.037
