selected,total,duration,solving_time,instant,1,2,3,4
0.0,0.0,0.0,0.0,28.5,-0.03,0.0,0.0,0.0
0.0,0.0,0.0,0.0,28.75,-0.04,0.0,0.0,0.0
0.0,0.0,0.0,0.0,29.0,-0.04,0.0,0.0,0.0
0.0,0.0,0.0,0.0,29.25,-0.06,0.0,0.0,0.0
0.0,0.0,0.0,0.0,29.5,-0.07,0.0,0.0,0.0
0.0,0.0,0.0,0.0,29.75,-0.08,0.0,0.0,0.0
0.0,0.0,0.0,0.0,30.0,-0.08,0.0,0.0,0.0
0.0,0.0,0.0,0.0,30.25,-0.1,0.0,0.0,0.0
0.0,0.0,0.0,0.0,30.5,-0.11,0.0,0.0,0.0
0.0,0.0,0.0,0.0,30.75,-0.12,0.0,0.0,0.0
0.0,0.0,0.0,0.0,31.0,-0.12,0.0,0.0,0.0
0.0,0.0,0.0,0.0,31.25,-0.14,0.0,0.0,0.0
0.0,0.0,0.0,0.0,31.5,-0.15,0.0,0.0,0.0
0.0,0.0,0.0,0.0,31.75,-0.16,0.0,0.0,0.0
0.0,0.0,0.0,0.0,32.0,-0.16,0.0,0.0,0.0
0.0,0.0,0.0,0.0,32.25,-0.18,0.0,0.0,0.0
0.0,0.0,0.0,0.0,32.5,-0.2,0.0,0.0,0.0
0.0,0.0,0.0,0.0,32.75,-0.21,0.0,0.0,0.0
0.0,0.0,0.0,0.0,33.0,-0.21,0.0,0.0,0.0
0.0,0.0,0.0,0.0,33.25,-0.23,0.0,0.0,0.0
0.0,0.0,0.0,0.0,33.5,-0.25,0.0,0.0,0.0
0.0,0.0,0.0,0.0,33.75,-0.26,0.0,0.0,0.0
0.0,0.0,0.0,0.0,34.0,-0.26,0.0,0.0,0.0
0.0,0.0,0.0,0.0,34.25,-0.28,0.0,0.0,0.0
0.0,0.0,0.0,0.0,34.5,-0.3,0.0,0.0,0.0
0.0,0.0,0.0,0.0,34.75,-0.31,0.0,0.0,0.0
0.0,0.0,0.0,0.0,35.0,-0.31,0.0,0.0,0.0
0.0,0.0,0.0,0.0,35.25,-0.33,0.0,0.0,0.0
0.0,0.0,0.0,0.0,35.5,-0.35,0.0,0.0,0.0
0.0,0.0,0.0,0.0,35.75,-0.37,0.0,0.0,0.0
0.0,0.0,0.0,0.0,36.0,-0.37,0.0,0.0,0.0
0.0,0.0,0.0,0.0,36.25,-0.39,0.0,0.0,0.0
0.0,0.0,0.0,0.0,36.5,-0.41,0.0,0.0,0.0
0.0,0.0,0.0,0.0,36.75,-0.43,0.0,0.0,0.0
0.0,0.0,0.0,0.0,37.0,-0.43,0.0,0.0,0.0
0.0,0.0,0.0,0.0,37.25,-0.45,0.0,0.0,0.0
0.0,0.0,0.0,0.0,37.5,-0.47,0.0,0.0,0.0
0.0,0.0,0.0,0.0,37.75,-0.49,0.0,0.0,0.0
0.0,0.0,0.0,0.0,38.0,-0.49,0.0,0.0,0.0
0.0,0.0,0.0,0.0,38.25,-0.51,0.0,0.0,0.0
0.0,0.0,0.0,0.0,38.5,-0.53,0.0,0.0,0.0
0.0,0.0,0.0,0.0,38.75,-0.55,0.0,0.0,0.0
0.0,0.0,0.0,0.0,39.0,-0.6,0.04,0.0,0.0
0.0,0.0,0.0,0.0,39.25,-0.65,0.07,0.0,0.0
0.0,0.0,0.0,0.0,39.5,-0.7,0.1,0.0,0.0
0.0,0.0,0.0,0.0,39.75,-0.75,0.13,0.0,0.0
0.0,0.0,0.0,0.0,40.0,-0.8,0.17,0.0,0.0
0.0,0.0,0.0,0.0,40.25,-0.85,0.2,0.0,0.0
0.0,0.0,0.0,0.0,40.5,-0.9,0.23,0.0,0.0
0.0,0.0,0.0,0.0,40.75,-0.95,0.26,0.0,0.0
0.0,0.0,0.0,0.0,41.0,-1.0,0.3,0.0,0.0
0.0,0.0,0.0,0.0,41.25,-1.05,0.33,0.0,0.0
0.0,0.0,0.0,0.0,41.5,-1.1,0.36,0.0,0.0
0.0,0.0,0.0,0.0,41.75,-1.15,0.39,0.0,0.0
0.0,0.0,0.0,0.0,42.0,-1.2,0.43,0.0,0.0
0.0,0.0,0.0,0.0,42.25,-1.2,0.4,0.0,0.0
0.0,0.0,0.0,0.0,42.5,-1.2,0.38,0.0,0.0
0.0,0.0,0.0,0.0,42.75,-1.2,0.36,0.0,0.0
0.0,0.0,0.0,0.0,43.0,-1.2,0.35,0.0,0.0
0.0,0.0,0.0,0.0,43.25,-1.2,0.32,0.0,0.0
0.0,0.0,0.0,0.0,43.5,-1.2,0.3,0.0,0.0
0.0,0.0,0.0,0.0,43.75,-1.2,0.28,0.0,0.0
0.0,0.0,0.0,0.0,44.0,-1.2,0.27,0.0,0.0
0.0,0.0,0.0,0.0,44.25,-1.2,0.24,0.0,0.0
0.0,0.0,0.0,0.0,44.5,-1.2,0.22,0.0,0.0
0.0,0.0,0.0,0.0,44.75,-1.2,0.2,0.0,0.0
0.0,0.0,0.0,0.0,45.0,-1.2,0.19,0.0,0.0
0.0,0.0,0.0,0.0,45.25,-1.2,0.16,0.0,0.0
0.0,0.0,0.0,0.0,45.5,-1.2,0.13,0.0,0.0
0.0,0.0,0.0,0.0,45.75,-1.2,0.11,0.0,0.0
0.0,0.0,0.0,0.0,46.0,-1.2,0.1,0.0,0.0
0.0,0.0,0.0,0.0,46.25,-1.2,0.07,0.0,0.0
0.0,0.0,0.0,0.0,46.5,-1.2,0.04,0.0,0.0
