selected,total,duration,solving_time,1,2,3,4,5,6,"(1, 2)","(1, 3)","(2, 3)","(2, 4)","(3, 5)","(4, 5)","(4, 6)","(5, 6)"
5.0,1.0549152542372882,4.1961669921875e-5,3.910064697265625e-5,0.0,0.09,0.32,0.72,0.45,0.0,0.0,0.0,0.401,0.331,0.198,0.059,0.24,0.0
4.0,4.668198050491456,0.09662604331970215,0.000102996826171875,0.0,0.07,0.29,0.69,0.45,0.0,0.0,0.0,0.347,0.257,0.132,0.0,0.24,0.0
3.0,2.391844272372366,5.316734313964844e-5,4.8160552978515625e-5,0.0,0.07,0.32,0.69,0.45,0.0,0.0,0.0,0.347,0.257,0.132,0.0,0.24,0.0
4.0,4.7837014718013275,4.291534423828125e-5,4.100799560546875e-5,0.0,0.07,0.32,0.73,0.45,0.0,0.0,0.0,0.347,0.257,0.132,0.0,0.24,0.0
3.0,4.13732508702322,4.1961669921875e-5,3.981590270996094e-5,0.0,0.07,0.35,0.73,0.45,0.0,0.0,0.0,0.347,0.305,0.132,0.0,0.24,0.0
3.0,3.706941078621385,0.0013909339904785156,8.511543273925781e-5,0.0,0.07,0.35,0.68,0.45,0.0,0.0,0.0,0.293,0.305,0.132,0.0,0.2,0.0
3.0,2.5933443314789946,5.2928924560546875e-5,4.8160552978515625e-5,0.0,0.07,0.36,0.68,0.45,0.0,0.0,0.0,0.293,0.305,0.198,0.0,0.2,0.0
5.0,4.473064611199275,4.410743713378906e-5,4.220008850097656e-5,0.0,0.07,0.36,0.68,0.47,0.0,0.0,0.0,0.293,0.305,0.198,0.0,0.2,0.0
4.0,2.62384892086331,0.0013048648834228516,8.392333984375e-5,0.0,0.07,0.36,0.72,0.46,0.0,0.0,0.0,0.293,0.305,0.198,0.0,0.2,0.0
5.0,3.011851851851852,0.0013070106506347656,8.511543273925781e-5,0.0,0.07,0.36,0.72,0.48,0.0,0.0,0.0,0.293,0.305,0.198,0.0,0.2,0.0
5.0,1.003076923076923,4.9114227294921875e-5,4.506111145019531e-5,0.0,0.07,0.36,0.72,0.52,0.0,0.0,0.0,0.293,0.305,0.198,0.0,0.2,0.0
6.0,4.792259946949602,0.09549498558044434,9.703636169433594e-5,0.0,0.0,0.36,0.72,0.46,0.02,0.0,0.0,0.234,0.246,0.198,0.0,0.2,0.0
3.0,2.491983028720627,5.5789947509765625e-5,5.078315734863281e-5,0.0,0.0,0.39,0.72,0.46,0.02,0.0,0.0,0.234,0.246,0.198,0.0,0.2,0.0
4.0,5.033688518378174,4.410743713378906e-5,4.100799560546875e-5,0.0,0.0,0.39,0.76,0.46,0.02,0.0,0.0,0.234,0.246,0.198,0.0,0.2,0.0
3.0,4.252170574597798,4.00543212890625e-5,3.790855407714844e-5,0.0,0.0,0.42,0.76,0.46,0.02,0.0,0.0,0.234,0.294,0.198,0.0,0.2,0.0
3.0,3.8356267343435686,0.0012960433959960938,8.511543273925781e-5,0.0,0.0,0.44,0.71,0.46,0.02,0.0,0.0,0.18,0.328,0.198,0.0,0.16,0.0
5.0,2.466734644869308,0.00015115737915039062,5.507469177246094e-5,0.0,0.0,0.41,0.67,0.47,0.02,0.0,0.0,0.18,0.328,0.198,0.0,0.16,0.0
5.0,4.461675245847645,4.601478576660156e-5,4.315376281738281e-5,0.0,0.0,0.41,0.67,0.49,0.02,0.0,0.0,0.18,0.328,0.198,0.0,0.16,0.0
4.0,2.5907336252038804,0.001255035400390625,0.00010895729064941406,0.0,0.0,0.38,0.71,0.49,0.02,0.0,0.0,0.18,0.294,0.132,0.0,0.16,0.0
5.0,3.0007843137254904,0.0012738704681396484,8.58306884765625e-5,0.0,0.0,0.38,0.71,0.51,0.02,0.0,0.0,0.18,0.294,0.132,0.0,0.16,0.0
5.0,1.0008163265306123,5.1021575927734375e-5,4.601478576660156e-5,0.0,0.0,0.38,0.71,0.55,0.02,0.0,0.0,0.18,0.294,0.132,0.0,0.16,0.0
6.0,4.731314948642346,0.09558892250061035,9.489059448242188e-5,0.0,0.0,0.38,0.71,0.47,0.04,0.0,0.0,0.18,0.294,0.132,0.0,0.16,0.0
3.0,2.5924154209284027,5.602836608886719e-5,4.982948303222656e-5,0.0,0.0,0.41,0.71,0.47,0.04,0.0,0.0,0.18,0.294,0.132,0.0,0.16,0.0
4.0,4.848706456969815,4.291534423828125e-5,4.00543212890625e-5,0.0,0.0,0.41,0.75,0.47,0.04,0.0,0.0,0.18,0.294,0.132,0.0,0.16,0.0
3.0,4.147084983605814,4.100799560546875e-5,3.910064697265625e-5,0.0,0.0,0.44,0.75,0.47,0.04,0.0,0.0,0.18,0.342,0.132,0.0,0.16,0.0
4.0,3.766676768771351,0.0012810230255126953,5.2928924560546875e-5,0.0,0.0,0.41,0.73,0.47,0.04,0.0,0.0,0.243,0.342,0.132,0.0,0.16,0.0
3.0,2.614385029681173,0.0013861656188964844,8.20159912109375e-5,0.0,0.0,0.4,0.68,0.44,0.04,0.0,0.0,0.189,0.308,0.198,0.0,0.12,0.0
5.0,4.480597078731742,5.507469177246094e-5,5.0067901611328125e-5,0.0,0.0,0.4,0.68,0.46,0.04,0.0,0.0,0.189,0.308,0.198,0.0,0.12,0.0
